tweet_id,name,rating_numerator,rating_denominator,dog_stages
892420643555336193,Phineas,13.0,10.0,unknown
892177421306343426,Tilly,13.0,10.0,unknown
891815181378084864,Archie,12.0,10.0,unknown
891689557279858688,Darla,13.0,10.0,unknown
891327558926688256,Franklin,12.0,10.0,unknown
891087950875897856,None,13.0,10.0,unknown
890971913173991426,Jax,13.0,10.0,unknown
890729181411237888,None,13.0,10.0,unknown
890609185150312448,Zoey,13.0,10.0,unknown
890240255349198849,Cassie,14.0,10.0,doggo
890006608113172480,Koda,13.0,10.0,unknown
889880896479866881,Bruno,13.0,10.0,unknown
889665388333682689,None,13.0,10.0,puppo
889638837579907072,Ted,12.0,10.0,unknown
889531135344209921,Stuart,13.0,10.0,puppo
889278841981685760,Oliver,13.0,10.0,unknown
888917238123831296,Jim,12.0,10.0,unknown
888804989199671297,Zeke,13.0,10.0,unknown
888554962724278272,Ralphus,13.0,10.0,unknown
888078434458587136,Gerald,12.0,10.0,unknown
887705289381826560,Jeffrey,13.0,10.0,unknown
887517139158093824,None,14.0,10.0,unknown
887473957103951883,Canela,13.0,10.0,unknown
887343217045368832,None,13.0,10.0,unknown
887101392804085760,None,12.0,10.0,unknown
886983233522544640,Maya,13.0,10.0,unknown
886736880519319552,Mingus,13.0,10.0,unknown
886680336477933568,Derek,13.0,10.0,unknown
886366144734445568,Roscoe,12.0,10.0,pupper
886258384151887873,Waffles,13.0,10.0,unknown
885984800019947520,Jimbo,12.0,10.0,unknown
885528943205470208,Maisey,13.0,10.0,unknown
885518971528720385,None,14.0,10.0,unknown
885167619883638784,None,13.0,10.0,unknown
884925521741709313,Earl,12.0,10.0,unknown
884876753390489601,Lola,13.0,10.0,unknown
884562892145688576,Kevin,13.0,10.0,unknown
884441805382717440,None,14.0,10.0,unknown
884247878851493888,None,13.0,10.0,unknown
884162670584377345,Yogi,12.0,10.0,doggo
883838122936631299,Noah,12.0,10.0,unknown
883482846933004288,Bella,13.5,10.0,unknown
883360690899218434,Grizzwald,13.0,10.0,floofer
883117836046086144,None,13.0,10.0,unknown
882992080364220416,Rusty,13.0,10.0,unknown
882762694511734784,Gus,12.0,10.0,pupper
882627270321602560,Stanley,13.0,10.0,unknown
882268110199369728,Alfy,13.0,10.0,unknown
882045870035918850,Koko,13.0,10.0,unknown
881906580714921986,Rey,12.0,10.0,unknown
881666595344535552,Gary,13.0,10.0,unknown
881536004380872706,None,14.0,10.0,pupper
881268444196462592,Elliot,12.0,10.0,unknown
880935762899988482,Louis,13.0,10.0,unknown
880872448815771648,None,12.0,10.0,unknown
880465832366813184,Bella,12.0,10.0,unknown
880221127280381952,Jesse,12.0,10.0,unknown
880095782870896641,None,11.0,10.0,unknown
879862464715927552,Romeo,13.0,10.0,unknown
879492040517615616,Bailey,12.0,10.0,unknown
879415818425184262,Duddles,13.0,10.0,unknown
879376492567855104,Jack,12.0,10.0,unknown
879050749262655488,Steven,11.0,10.0,unknown
879008229531029506,Beau,13.0,10.0,unknown
878776093423087618,Snoopy,13.0,10.0,puppo
878604707211726852,None,13.0,10.0,unknown
878281511006478336,Shadow,13.0,10.0,unknown
878057613040115712,Emmy,14.0,10.0,unknown
877736472329191424,Aja,13.0,10.0,unknown
877556246731214848,Penny,12.0,10.0,unknown
877316821321428993,Dante,13.0,10.0,unknown
877201837425926144,Nelly,12.0,10.0,unknown
876838120628539392,Ginger,12.0,10.0,pupper
876537666061221889,None,14.0,10.0,unknown
876484053909872640,Benedict,13.0,10.0,unknown
876120275196170240,Venti,13.0,10.0,unknown
875747767867523072,Goose,13.0,10.0,unknown
875144289856114688,Nugget,13.0,10.0,unknown
875097192612077568,None,13.0,10.0,unknown
875021211251597312,None,12.0,10.0,unknown
874680097055178752,Cash,12.0,10.0,unknown
874296783580663808,Jed,13.0,10.0,pupper
874057562936811520,None,12.0,10.0,unknown
874012996292530176,Sebastian,13.0,10.0,puppo
873580283840344065,None,13.0,10.0,unknown
873213775632977920,Sierra,12.0,10.0,pupper
872967104147763200,None,12.0,10.0,doggo
872820683541237760,None,13.0,10.0,unknown
872620804844003328,Monkey,13.0,10.0,unknown
872486979161796608,None,12.0,10.0,unknown
872261713294495745,Harry,13.0,10.0,unknown
872122724285648897,Kody,12.0,10.0,unknown
871879754684805121,Lassie,13.0,10.0,unknown
871762521631449091,Rover,12.0,10.0,pupper
871515927908634625,Napolean,12.0,10.0,doggo
871102520638267392,None,14.0,10.0,doggo
871032628920680449,Boomer,13.0,10.0,unknown
870804317367881728,None,11.0,10.0,unknown
870656317836468226,Cody,13.0,10.0,unknown
870374049280663552,Zoey,13.0,10.0,unknown
870308999962521604,Rumble,13.0,10.0,unknown
870063196459192321,Clifford,14.0,10.0,unknown
869772420881756160,Dewey,13.0,10.0,unknown
869702957897576449,Stanley,13.0,10.0,unknown
869596645499047938,Scout,12.0,10.0,doggo
869227993411051520,Gizmo,13.0,10.0,unknown
868880397819494401,Walter,14.0,10.0,unknown
868622495443632128,None,13.0,10.0,unknown
868552278524837888,Cooper,12.0,10.0,unknown
867900495410671616,None,12.0,10.0,unknown
867774946302451713,Harold,13.0,10.0,unknown
867421006826221569,Shikha,12.0,10.0,puppo
867051520902168576,None,13.0,10.0,unknown
866720684873056260,None,13.0,10.0,unknown
866686824827068416,Lili,12.0,10.0,unknown
866450705531457537,Jamesy,13.0,10.0,pupper
866334964761202691,Coco,12.0,10.0,unknown
865718153858494464,Boomer,13.0,10.0,unknown
865359393868664832,Sammy,13.0,10.0,unknown
865006731092295680,Nelly,13.0,10.0,unknown
864873206498414592,None,14.0,10.0,unknown
864279568663928832,Meatball,12.0,10.0,unknown
864197398364647424,Paisley,13.0,10.0,unknown
863907417377173506,Albus,13.0,10.0,unknown
863553081350529029,Neptune,13.0,10.0,unknown
863432100342583297,Belle,12.0,10.0,unknown
863062471531167744,Quinn,13.0,10.0,unknown
862831371563274240,Zooey,13.0,10.0,unknown
862722525377298433,Dave,11.0,10.0,unknown
862457590147678208,Jersey,13.0,10.0,unknown
862096992088072192,None,13.0,10.0,unknown
861383897657036800,Hobbes,13.0,10.0,unknown
861288531465048066,None,13.0,10.0,unknown
861005113778896900,Burt,12.0,10.0,unknown
860563773140209665,Lorenzo,13.0,10.0,unknown
860524505164394496,Carl,13.0,10.0,unknown
860276583193509888,Jordy,12.0,10.0,unknown
860184849394610176,None,14.0,10.0,unknown
859924526012018688,Milky,12.0,10.0,unknown
